2022-02-18 11:04:26,829 - USER_ID: a3a95cd5-69e8-4403-9b06-a4349e16567b | METHOD: GET | URL: /api/users/me | ARGS: {}
2022-02-18 13:04:19,999 - USER_ID: anonymous | METHOD: POST | URL: /api/users/register | ARGS: {'login': 'ivan', 'email': 'ivanperovsky@gmail.com', 'password': '1234'}
2022-02-18 13:04:20,246 - USER_ID: anonymous | METHOD: POST | URL: /api/users/unauthorized | ARGS: {}
2022-02-18 13:04:20,412 - USER_ID: 04325c90-9fd1-404c-abd6-7e5e58709f7f | METHOD: POST | URL: /api/users/register | ARGS: {'email': 'test@gmail.com', 'password': '12345'}
2022-02-18 13:04:20,577 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_password | ARGS: {'login': 'test@gmail.com', 'password': '1234'}
2022-02-18 13:04:20,800 - USER_ID: 1cc006ca-df49-48f2-9e84-ffb50c123c7f | METHOD: POST | URL: /api/users/login_password | ARGS: {'login': 'test2@gmail.com', 'password': '1234'}
2022-02-18 13:04:20,807 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_password | ARGS: {'login': 'ivan', 'password': '1234'}
2022-02-18 13:04:21,457 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-18 13:04:21,726 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-18 13:04:22,011 - USER_ID: anonymous | METHOD: POST | URL: /api/users/unauthorized | ARGS: {}
2022-02-18 13:04:22,277 - USER_ID: 6f4d87a6-0afc-46d8-ab09-35eae452b7f8 | METHOD: POST | URL: /api/users/login_phone | ARGS: {'phone': '79312972206'}
2022-02-19 21:38:54,050 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '333'}
2022-02-19 21:40:29,427 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '333'}
2022-02-19 21:40:57,859 - USER_ID: a3a95cd5-69e8-4403-9b06-a4349e16567b | METHOD: GET | URL: /api/documents/91c9270f-49cf-45f9-8041-2826a5ba8c9d | ARGS: {}
2022-02-19 21:42:33,503 - USER_ID: a3a95cd5-69e8-4403-9b06-a4349e16567b | METHOD: POST | URL: /api/documents/modify | ARGS: {'sources': [{'id': '69b03ea1-d584-4909-a4da-cf6c87d35f23', 'page_number': 1}, {'id': '69b03ea1-d584-4909-a4da-cf6c87d35f23', 'page_number': 1}, {'id': '69b03ea1-d584-4909-a4da-cf6c87d35f23', 'page_number': 1}, {'id': '69b03ea1-d584-4909-a4da-cf6c87d35f23', 'page_number': 1}]}
2022-02-19 21:45:32,769 - USER_ID: a3a95cd5-69e8-4403-9b06-a4349e16567b | METHOD: POST | URL: /api/documents/modify | ARGS: {'sources': [{'id': '69b03ea1-d584-4909-a4da-cf6c87d35f23', 'page_number': 1}, {'id': '69b03ea1-d584-4909-a4da-cf6c87d35f23', 'page_number': 1}, {'id': '69b03ea1-d584-4909-a4da-cf6c87d35f23', 'page_number': 1}, {'id': '69b03ea1-d584-4909-a4da-cf6c87d35f23', 'page_number': 1}]}
2022-02-19 22:02:45,663 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '333'}
2022-02-19 22:02:54,334 - USER_ID: a3a95cd5-69e8-4403-9b06-a4349e16567b | METHOD: GET | URL: /api/users/me | ARGS: {}
2022-02-19 22:03:22,841 - USER_ID: a3a95cd5-69e8-4403-9b06-a4349e16567b | METHOD: POST | URL: /api/documents/modify | ARGS: {'sources': [{'id': '69b03ea1-d584-4909-a4da-cf6c87d35f23', 'page_number': 1}, {'id': '69b03ea1-d584-4909-a4da-cf6c87d35f23', 'page_number': 1}, {'id': '69b03ea1-d584-4909-a4da-cf6c87d35f23', 'page_number': 1}, {'id': '69b03ea1-d584-4909-a4da-cf6c87d35f23', 'page_number': 1}]}
2022-02-19 22:03:53,355 - USER_ID: a3a95cd5-69e8-4403-9b06-a4349e16567b | METHOD: POST | URL: /api/documents/ | 
2022-02-19 22:04:46,527 - USER_ID: a3a95cd5-69e8-4403-9b06-a4349e16567b | METHOD: POST | URL: /api/documents/ | 
2022-02-19 22:05:16,707 - USER_ID: a3a95cd5-69e8-4403-9b06-a4349e16567b | METHOD: POST | URL: /api/documents/modify | ARGS: {'sources': [{'id': '6de9227f-c269-40fe-ae44-1a752895fe1c', 'page_number': 1}, {'id': '6de9227f-c269-40fe-ae44-1a752895fe1c', 'page_number': 1}, {'id': '6de9227f-c269-40fe-ae44-1a752895fe1c', 'page_number': 1}, {'id': '6de9227f-c269-40fe-ae44-1a752895fe1c', 'page_number': 1}]}
2022-02-19 22:17:09,540 - USER_ID: a3a95cd5-69e8-4403-9b06-a4349e16567b | METHOD: POST | URL: /api/documents/modify | ARGS: {'sources': [{'id': '6de9227f-c269-40fe-ae44-1a752895fe1c', 'page_number': 1}, {'id': '6de9227f-c269-40fe-ae44-1a752895fe1c', 'page_number': 1}, {'id': '6de9227f-c269-40fe-ae44-1a752895fe1c', 'page_number': 1}, {'id': '6de9227f-c269-40fe-ae44-1a752895fe1c', 'page_number': 1}]}
2022-02-19 22:17:44,500 - USER_ID: a3a95cd5-69e8-4403-9b06-a4349e16567b | METHOD: GET | URL: /api/documents/5d1778db-750b-49c6-af64-5cfab445844d | ARGS: {}
2022-02-19 22:23:54,444 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-19 22:23:54,755 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-19 22:23:55,194 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-19 22:23:55,358 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-19 22:23:55,555 - USER_ID: e2b531cd-3c09-41c4-a4eb-41f26edda3f2 | METHOD: POST | URL: /api/documents/ | 
2022-02-19 22:23:55,643 - USER_ID: e2b531cd-3c09-41c4-a4eb-41f26edda3f2 | METHOD: GET | URL: /api/documents/ | ARGS: {}
2022-02-19 22:23:55,655 - USER_ID: e2b531cd-3c09-41c4-a4eb-41f26edda3f2 | METHOD: GET | URL: /api/documents/ | ARGS: {'body': ['1']}
2022-02-19 22:23:55,665 - USER_ID: e2b531cd-3c09-41c4-a4eb-41f26edda3f2 | METHOD: GET | URL: /api/documents/21a2a072-f980-4478-8d58-aa5dcffdc9fd | ARGS: {'body': ['0']}
2022-02-19 22:23:55,678 - USER_ID: ac8f9180-94f7-4794-971b-4522193f584c | METHOD: PUT | URL: /api/users/update-tariff | ARGS: {'tariff': 0, 'user_id': 'e2b531cd-3c09-41c4-a4eb-41f26edda3f2'}
2022-02-19 22:23:55,688 - USER_ID: e2b531cd-3c09-41c4-a4eb-41f26edda3f2 | METHOD: POST | URL: /api/documents/21a2a072-f980-4478-8d58-aa5dcffdc9fd/convert | ARGS: {}
2022-02-19 22:24:27,239 - USER_ID: e2b531cd-3c09-41c4-a4eb-41f26edda3f2 | METHOD: GET | URL: /api/documents/21a2a072-f980-4478-8d58-aa5dcffdc9fd/previews | ARGS: {}
2022-02-19 22:24:27,553 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-19 22:24:27,856 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-19 22:24:28,202 - USER_ID: b44eb5bc-91fb-46ab-a83c-e90f54a24436 | METHOD: POST | URL: /api/documents/ | 
2022-02-19 22:24:44,740 - USER_ID: b44eb5bc-91fb-46ab-a83c-e90f54a24436 | METHOD: GET | URL: /api/documents/ | ARGS: {}
2022-02-19 22:24:44,765 - USER_ID: b44eb5bc-91fb-46ab-a83c-e90f54a24436 | METHOD: GET | URL: /api/documents/ | ARGS: {'body': ['1']}
2022-02-19 22:24:44,806 - USER_ID: b44eb5bc-91fb-46ab-a83c-e90f54a24436 | METHOD: GET | URL: /api/documents/b827674a-c122-401f-97fb-98c9a4786440 | ARGS: {'body': ['0']}
2022-02-19 22:24:44,829 - USER_ID: b44eb5bc-91fb-46ab-a83c-e90f54a24436 | METHOD: POST | URL: /api/documents/b827674a-c122-401f-97fb-98c9a4786440/split | ARGS: {'pages': [1, 3, 6, 10]}
2022-02-19 22:24:52,503 - USER_ID: b44eb5bc-91fb-46ab-a83c-e90f54a24436 | METHOD: POST | URL: /api/documents/merge | ARGS: {'sources': [{'id': 'b827674a-c122-401f-97fb-98c9a4786440'}, {'id': 'bfa6d67b-c9af-4809-b55d-889595d3774b'}]}
2022-02-19 22:25:17,219 - USER_ID: b44eb5bc-91fb-46ab-a83c-e90f54a24436 | METHOD: GET | URL: /api/documents/b827674a-c122-401f-97fb-98c9a4786440/download | ARGS: {'body': ['0']}
2022-02-19 22:25:17,280 - USER_ID: b44eb5bc-91fb-46ab-a83c-e90f54a24436 | METHOD: GET | URL: /api/documents/b827674a-c122-401f-97fb-98c9a4786440/download | ARGS: {'body': ['0']}
2022-02-19 22:25:17,336 - USER_ID: b44eb5bc-91fb-46ab-a83c-e90f54a24436 | METHOD: GET | URL: /api/documents/a3244eca-6913-4782-a2f5-036291edf2dc/download | ARGS: {'body': ['0']}
2022-02-19 22:25:17,374 - USER_ID: b44eb5bc-91fb-46ab-a83c-e90f54a24436 | METHOD: GET | URL: /api/users/me | ARGS: {}
2022-02-19 22:25:17,385 - USER_ID: 3d4571f9-b467-48b8-9879-e0ba9f4ca94b | METHOD: PUT | URL: /api/users/update-tariff | ARGS: {'tariff': 1, 'user_id': 'b44eb5bc-91fb-46ab-a83c-e90f54a24436'}
2022-02-19 22:25:17,394 - USER_ID: b44eb5bc-91fb-46ab-a83c-e90f54a24436 | METHOD: GET | URL: /api/documents/a3244eca-6913-4782-a2f5-036291edf2dc/download | ARGS: {'body': ['0']}
2022-02-19 22:25:17,641 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-19 22:25:17,810 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-19 22:25:17,993 - USER_ID: 4615b9bb-1226-4e18-b03b-c3de7ed5ba97 | METHOD: POST | URL: /api/documents/ | 
2022-02-19 22:25:34,628 - USER_ID: 4615b9bb-1226-4e18-b03b-c3de7ed5ba97 | METHOD: POST | URL: /api/documents/346451a8-fa0b-4f20-98e8-f6429e38c55b/split | ARGS: {'pages': [1, 2, 5]}
2022-02-19 22:25:40,425 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-19 22:25:40,593 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-19 22:25:40,999 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-19 22:25:41,166 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-19 22:25:41,330 - USER_ID: anonymous | METHOD: POST | URL: /api/users/register | ARGS: {'login': 'ivan', 'email': 'ivanperovsky@gmail.com', 'password': '1234'}
2022-02-19 22:25:41,500 - USER_ID: anonymous | METHOD: POST | URL: /api/users/unauthorized | ARGS: {}
2022-02-19 22:25:41,663 - USER_ID: c2671fdc-3bdd-4c5e-bcc4-7feb907b3ead | METHOD: POST | URL: /api/users/register | ARGS: {'email': 'test@gmail.com', 'password': '12345'}
2022-02-19 22:25:41,832 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_password | ARGS: {'login': 'test@gmail.com', 'password': '1234'}
2022-02-19 22:25:42,107 - USER_ID: b59d5053-7940-4387-bab5-61ff25f72d77 | METHOD: POST | URL: /api/users/login_password | ARGS: {'login': 'test2@gmail.com', 'password': '1234'}
2022-02-19 22:25:42,113 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_password | ARGS: {'login': 'ivan', 'password': '1234'}
2022-02-19 22:25:42,598 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-19 22:25:42,850 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-19 22:25:43,216 - USER_ID: anonymous | METHOD: POST | URL: /api/users/unauthorized | ARGS: {}
2022-02-19 22:25:43,475 - USER_ID: 3dfb2d2e-0c72-4edb-8f44-72433e558823 | METHOD: POST | URL: /api/users/login_phone | ARGS: {'phone': '79312972206'}
2022-02-19 22:28:41,259 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-19 22:28:41,503 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-19 22:28:41,929 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-19 22:28:42,106 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-19 22:28:42,359 - USER_ID: 66e19da7-13f4-4713-ab24-d8aec7e64616 | METHOD: POST | URL: /api/documents/ | 
2022-02-19 22:28:42,427 - USER_ID: 66e19da7-13f4-4713-ab24-d8aec7e64616 | METHOD: GET | URL: /api/documents/ | ARGS: {}
2022-02-19 22:28:42,439 - USER_ID: 66e19da7-13f4-4713-ab24-d8aec7e64616 | METHOD: GET | URL: /api/documents/ | ARGS: {'body': ['1']}
